Transaction Number,Customer ID,AgentID,Partner,Agent Start Date,Primary Skill,Saves,Sales,Time Spent on Call (Seconds),Expected Life Time Value 
911,90788,3000,Partner C,9/20/19,Service,0,1,83,189
1298,91175,457896,Partner C,9/20/19,Saves,1,0,12,330
914,90791,3000,Partner C,9/20/19,Service,0,1,2,349
916,90793,3000,Partner C,9/20/19,Service,0,0,391,0
917,90794,3000,Partner C,9/20/19,Service,0,0,147,0
920,90797,3000,Partner C,9/20/19,Service,0,1,376,102
921,90798,3000,Partner C,9/20/19,Service,0,1,282,185
924,90801,3000,Partner C,9/20/19,Service,0,0,578,0
1286,91163,457896,Partner C,9/20/19,Saves,1,0,43,332
927,90804,3000,Partner C,9/20/19,Service,0,1,517,175
928,90805,3000,Partner C,9/20/19,Service,0,0,319,0
929,90806,3000,Partner C,9/20/19,Service,0,1,138,385
931,90808,3000,Partner C,9/20/19,Service,0,1,206,237
932,90809,3000,Partner C,9/20/19,Service,0,0,624,0
934,90811,3000,Partner C,9/20/19,Service,0,1,369,355
935,90812,3000,Partner C,9/20/19,Service,0,1,518,407
937,90814,3000,Partner C,9/20/19,Service,0,0,665,0
939,90816,3000,Partner C,9/20/19,Service,0,0,75,0
940,90817,3000,Partner C,9/20/19,Service,0,0,353,0
942,90819,3000,Partner C,9/20/19,Service,0,0,93,0
943,90820,3000,Partner C,9/20/19,Service,0,1,374,252
944,90821,3000,Partner C,9/20/19,Service,0,1,555,284
946,90823,3000,Partner C,9/20/19,Service,0,0,578,0
952,90829,3000,Partner C,9/20/19,Service,0,0,607,0
954,90831,3000,Partner C,9/20/19,Service,0,1,670,144
955,90832,3000,Partner C,9/20/19,Service,0,0,451,0
957,90834,3000,Partner C,9/20/19,Service,0,0,107,0
959,90836,3000,Partner C,9/20/19,Service,0,0,108,0
1290,91167,457896,Partner C,9/20/19,Saves,0,0,143,0
1273,91150,457896,Partner C,9/20/19,Saves,0,0,593,0
1275,91152,457896,Partner C,9/20/19,Saves,1,0,230,374
919,90796,3000,Partner C,9/20/19,Service,1,1,404,217
1258,91135,457896,Partner C,9/20/19,Saves,1,1,16,378
1251,91128,457896,Partner C,9/20/19,Saves,1,0,671,383
1252,91129,457896,Partner C,9/20/19,Saves,0,0,603,0
958,90835,3000,Partner C,9/20/19,Service,1,0,443,245
1255,91132,457896,Partner C,9/20/19,Saves,0,1,660,187
1287,91164,457896,Partner C,9/20/19,Saves,0,0,447,0
1269,91146,457896,Partner C,9/20/19,Saves,0,1,478,176
926,90803,3000,Partner C,9/20/19,Service,1,1,462,376
1253,91130,457896,Partner C,9/20/19,Saves,0,0,337,0
1279,91156,457896,Partner C,9/20/19,Saves,0,1,520,144
1267,91144,457896,Partner C,9/20/19,Saves,1,1,87,409
941,90818,3000,Partner C,9/20/19,Service,1,0,491,385
1270,91147,457896,Partner C,9/20/19,Saves,1,1,481,415
1278,91155,457896,Partner C,9/20/19,Saves,1,0,19,420
1281,91158,457896,Partner C,9/20/19,Saves,0,0,155,0
1276,91153,457896,Partner C,9/20/19,Saves,0,0,156,0
1295,91172,457896,Partner C,9/20/19,Saves,0,1,677,125
1282,91159,457896,Partner C,9/20/19,Saves,0,1,222,125
1259,91136,457896,Partner C,9/20/19,Saves,1,1,203,425
1236,91113,457896,Partner C,9/20/19,Saves,0,1,444,119
1297,91174,457896,Partner C,9/20/19,Saves,0,0,385,0
945,90822,3000,Partner C,9/20/19,Service,1,0,522,202
1263,91140,457896,Partner C,9/20/19,Saves,0,1,514,111
923,90800,3000,Partner C,9/20/19,Service,1,0,539,422
930,90807,3000,Partner C,9/20/19,Service,1,1,583,312
956,90833,3000,Partner C,9/20/19,Service,1,0,598,338
950,90827,3000,Partner C,9/20/19,Service,1,0,666,390
949,90826,3000,Partner C,9/20/19,Service,1,0,696,475
581,90458,2500,Partner B,9/15/19,Saves,1,1,319,202
585,90462,2500,Partner B,9/15/19,Saves,1,0,664,139
607,90484,2500,Partner B,9/15/19,Saves,1,0,692,146
602,90479,2500,Partner B,9/15/19,Saves,0,0,476,0
591,90468,2500,Partner B,9/15/19,Saves,1,1,614,189
600,90477,2500,Partner B,9/15/19,Saves,0,0,281,0
586,90463,2500,Partner B,9/15/19,Saves,0,0,30,0
587,90464,2500,Partner B,9/15/19,Saves,1,1,526,206
596,90473,2500,Partner B,9/15/19,Saves,1,1,135,226
589,90466,2500,Partner B,9/15/19,Saves,1,0,168,226
608,90485,2500,Partner B,9/15/19,Saves,0,0,213,0
579,90456,2500,Partner B,9/15/19,Saves,1,1,176,269
593,90470,2500,Partner B,9/15/19,Saves,1,1,318,277
598,90475,2500,Partner B,9/15/19,Saves,1,1,330,288
606,90483,2500,Partner B,9/15/19,Saves,0,0,360,0
605,90482,2500,Partner B,9/15/19,Saves,1,1,61,292
601,90478,2500,Partner B,9/15/19,Saves,0,1,667,273
594,90471,2500,Partner B,9/15/19,Saves,1,0,671,334
580,90457,2500,Partner B,9/15/19,Saves,1,0,388,341
582,90459,2500,Partner B,9/15/19,Saves,1,0,31,355
604,90481,2500,Partner B,9/15/19,Saves,1,1,270,367
603,90480,2500,Partner B,9/15/19,Saves,0,0,257,0
599,90476,2500,Partner B,9/15/19,Saves,0,1,646,192
592,90469,2500,Partner B,9/15/19,Saves,0,1,411,174
583,90460,2500,Partner B,9/15/19,Saves,0,1,284,173
588,90465,2500,Partner B,9/15/19,Saves,1,0,227,403
597,90474,2500,Partner B,9/15/19,Saves,0,0,266,0
595,90472,2500,Partner B,9/15/19,Saves,1,1,239,416
584,90461,2500,Partner B,9/15/19,Saves,1,1,432,416
590,90467,2500,Partner B,9/15/19,Saves,1,1,170,424
286,90163,9101,Partner A,9/10/19,Service,1,1,450,200
282,90159,9101,Partner A,9/10/19,Service,1,0,1,475
1117,90994,1500,Partner C,9/10/19,Saves,1,1,329,207
460,90337,99999,Partner A,9/10/19,Saves,1,0,285,207
469,90346,99999,Partner A,9/10/19,Saves,1,1,543,214
458,90335,99999,Partner A,9/10/19,Saves,1,1,366,215
270,90147,9101,Partner A,9/10/19,Service,1,1,27,380
1159,91036,1500,Partner C,9/10/19,Saves,1,1,531,318
470,90347,99999,Partner A,9/10/19,Saves,1,0,548,319
240,90117,9101,Partner A,9/10/19,Service,1,1,43,310
445,90322,99999,Partner A,9/10/19,Saves,1,1,306,127
1136,91013,1500,Partner C,9/10/19,Saves,1,1,19,129
237,90114,9101,Partner A,9/10/19,Service,0,0,182,0
238,90115,9101,Partner A,9/10/19,Service,0,1,541,177
239,90116,9101,Partner A,9/10/19,Service,0,0,19,0
241,90118,9101,Partner A,9/10/19,Service,0,1,566,364
242,90119,9101,Partner A,9/10/19,Service,0,1,127,141
245,90122,9101,Partner A,9/10/19,Service,0,1,286,448
246,90123,9101,Partner A,9/10/19,Service,0,1,431,247
247,90124,9101,Partner A,9/10/19,Service,0,1,206,326
250,90127,9101,Partner A,9/10/19,Service,0,1,434,344
252,90129,9101,Partner A,9/10/19,Service,0,1,540,114
254,90131,9101,Partner A,9/10/19,Service,0,1,310,187
255,90132,9101,Partner A,9/10/19,Service,0,1,266,287
256,90133,9101,Partner A,9/10/19,Service,0,1,689,348
257,90134,9101,Partner A,9/10/19,Service,0,1,428,415
258,90135,9101,Partner A,9/10/19,Service,0,1,520,201
259,90136,9101,Partner A,9/10/19,Service,0,1,84,408
261,90138,9101,Partner A,9/10/19,Service,0,0,534,0
262,90139,9101,Partner A,9/10/19,Service,0,0,221,0
263,90140,9101,Partner A,9/10/19,Service,0,1,189,385
264,90141,9101,Partner A,9/10/19,Service,0,1,202,338
267,90144,9101,Partner A,9/10/19,Service,0,0,359,0
268,90145,9101,Partner A,9/10/19,Service,0,0,655,0
272,90149,9101,Partner A,9/10/19,Service,0,0,480,0
273,90150,9101,Partner A,9/10/19,Service,0,0,159,0
276,90153,9101,Partner A,9/10/19,Service,0,0,532,0
277,90154,9101,Partner A,9/10/19,Service,0,0,286,0
280,90157,9101,Partner A,9/10/19,Service,0,0,597,0
283,90160,9101,Partner A,9/10/19,Service,0,0,645,0
284,90161,9101,Partner A,9/10/19,Service,0,0,8,0
285,90162,9101,Partner A,9/10/19,Service,0,1,113,244
253,90130,9101,Partner A,9/10/19,Service,1,0,64,380
472,90349,99999,Partner A,9/10/19,Saves,1,0,91,141
459,90336,99999,Partner A,9/10/19,Saves,1,1,680,142
1151,91028,1500,Partner C,9/10/19,Saves,1,0,440,147
1148,91025,1500,Partner C,9/10/19,Saves,1,1,462,156
1122,90999,1500,Partner C,9/10/19,Saves,1,0,130,162
265,90142,9101,Partner A,9/10/19,Service,1,1,215,403
1120,90997,1500,Partner C,9/10/19,Saves,1,1,202,168
278,90155,9101,Partner A,9/10/19,Service,1,0,225,396
1125,91002,1500,Partner C,9/10/19,Saves,1,1,695,171
1161,91038,1500,Partner C,9/10/19,Saves,1,1,423,181
452,90329,99999,Partner A,9/10/19,Saves,1,0,448,182
1152,91029,1500,Partner C,9/10/19,Saves,1,0,74,188
450,90327,99999,Partner A,9/10/19,Saves,1,1,681,188
1116,90993,1500,Partner C,9/10/19,Saves,1,1,31,190
468,90345,99999,Partner A,9/10/19,Saves,1,1,622,191
260,90137,9101,Partner A,9/10/19,Service,1,1,242,361
1142,91019,1500,Partner C,9/10/19,Saves,0,0,452,0
1130,91007,1500,Partner C,9/10/19,Saves,0,1,460,419
1113,90990,1500,Partner C,9/10/19,Saves,0,0,66,0
1162,91039,1500,Partner C,9/10/19,Saves,0,1,473,410
274,90151,9101,Partner A,9/10/19,Service,1,1,168,399
474,90351,99999,Partner A,9/10/19,Saves,1,1,356,207
1143,91020,1500,Partner C,9/10/19,Saves,0,1,232,375
447,90324,99999,Partner A,9/10/19,Saves,1,1,375,220
1139,91016,1500,Partner C,9/10/19,Saves,0,0,445,0
1111,90988,1500,Partner C,9/10/19,Saves,0,1,425,366
1133,91010,1500,Partner C,9/10/19,Saves,1,1,571,223
457,90334,99999,Partner A,9/10/19,Saves,1,0,329,224
1163,91040,1500,Partner C,9/10/19,Saves,1,1,198,226
1154,91031,1500,Partner C,9/10/19,Saves,0,1,520,358
1121,90998,1500,Partner C,9/10/19,Saves,1,0,397,228
1134,91011,1500,Partner C,9/10/19,Saves,1,1,619,239
271,90148,9101,Partner A,9/10/19,Service,1,1,251,443
1137,91014,1500,Partner C,9/10/19,Saves,1,1,696,243
249,90126,9101,Partner A,9/10/19,Service,1,0,257,349
244,90121,9101,Partner A,9/10/19,Service,1,0,268,321
454,90331,99999,Partner A,9/10/19,Saves,1,0,695,261
1119,90996,1500,Partner C,9/10/19,Saves,0,1,593,320
1123,91000,1500,Partner C,9/10/19,Saves,0,1,561,319
243,90120,9101,Partner A,9/10/19,Service,1,1,276,320
1156,91033,1500,Partner C,9/10/19,Saves,1,1,64,263
1128,91005,1500,Partner C,9/10/19,Saves,0,0,406,0
464,90341,99999,Partner A,9/10/19,Saves,1,0,201,269
456,90333,99999,Partner A,9/10/19,Saves,1,0,128,269
443,90320,99999,Partner A,9/10/19,Saves,1,0,639,274
1153,91030,1500,Partner C,9/10/19,Saves,0,1,149,303
1160,91037,1500,Partner C,9/10/19,Saves,1,0,364,287
449,90326,99999,Partner A,9/10/19,Saves,1,0,119,291
1118,90995,1500,Partner C,9/10/19,Saves,0,0,218,0
453,90330,99999,Partner A,9/10/19,Saves,1,0,304,295
451,90328,99999,Partner A,9/10/19,Saves,1,0,280,298
1158,91035,1500,Partner C,9/10/19,Saves,1,0,341,307
444,90321,99999,Partner A,9/10/19,Saves,1,1,83,307
467,90344,99999,Partner A,9/10/19,Saves,1,1,689,309
466,90343,99999,Partner A,9/10/19,Saves,1,0,346,309
279,90156,9101,Partner A,9/10/19,Service,1,1,331,366
1109,90986,1500,Partner C,9/10/19,Saves,1,1,338,316
1149,91026,1500,Partner C,9/10/19,Saves,1,0,444,323
1126,91003,1500,Partner C,9/10/19,Saves,1,0,258,324
465,90342,99999,Partner A,9/10/19,Saves,1,0,691,324
462,90339,99999,Partner A,9/10/19,Saves,1,0,14,328
461,90338,99999,Partner A,9/10/19,Saves,1,0,22,328
473,90350,99999,Partner A,9/10/19,Saves,1,1,284,330
1112,90989,1500,Partner C,9/10/19,Saves,1,0,494,333
269,90146,9101,Partner A,9/10/19,Service,1,0,351,240
1145,91022,1500,Partner C,9/10/19,Saves,1,0,26,338
266,90143,9101,Partner A,9/10/19,Service,1,1,352,408
248,90125,9101,Partner A,9/10/19,Service,1,1,354,357
1124,91001,1500,Partner C,9/10/19,Saves,1,0,18,347
1115,90992,1500,Partner C,9/10/19,Saves,0,0,268,0
1165,91042,1500,Partner C,9/10/19,Saves,1,0,487,349
1141,91018,1500,Partner C,9/10/19,Saves,0,1,503,263
442,90319,99999,Partner A,9/10/19,Saves,1,1,170,349
448,90325,99999,Partner A,9/10/19,Saves,1,0,219,350
1155,91032,1500,Partner C,9/10/19,Saves,0,1,620,248
1131,91008,1500,Partner C,9/10/19,Saves,1,1,260,362
1157,91034,1500,Partner C,9/10/19,Saves,1,0,575,365
1127,91004,1500,Partner C,9/10/19,Saves,1,1,206,381
471,90348,99999,Partner A,9/10/19,Saves,1,0,205,390
1132,91009,1500,Partner C,9/10/19,Saves,0,0,106,0
281,90158,9101,Partner A,9/10/19,Service,1,1,444,288
1164,91041,1500,Partner C,9/10/19,Saves,0,1,451,183
1138,91015,1500,Partner C,9/10/19,Saves,1,1,532,398
1114,90991,1500,Partner C,9/10/19,Saves,1,1,220,400
455,90332,99999,Partner A,9/10/19,Saves,1,0,499,400
1129,91006,1500,Partner C,9/10/19,Saves,1,0,208,406
1144,91021,1500,Partner C,9/10/19,Saves,0,0,530,0
1147,91024,1500,Partner C,9/10/19,Saves,0,0,94,0
275,90152,9101,Partner A,9/10/19,Service,1,1,491,312
1150,91027,1500,Partner C,9/10/19,Saves,0,0,142,0
1166,91043,1500,Partner C,9/10/19,Saves,0,1,308,139
1140,91017,1500,Partner C,9/10/19,Saves,1,1,258,414
1135,91012,1500,Partner C,9/10/19,Saves,0,0,365,0
1146,91023,1500,Partner C,9/10/19,Saves,1,1,562,424
1110,90987,1500,Partner C,9/10/19,Saves,1,0,160,424
463,90340,99999,Partner A,9/10/19,Saves,1,0,371,424
446,90323,99999,Partner A,9/10/19,Saves,1,0,205,424
287,90164,9101,Partner A,9/10/19,Service,1,0,549,201
251,90128,9101,Partner A,9/10/19,Service,1,0,580,389
288,90165,9101,Partner A,9/10/19,Service,1,1,632,219
236,90113,9101,Partner A,9/10/19,Service,1,1,673,433
189,90066,456,Partner A,9/1/19,Service,1,1,4,405
150,90027,456,Partner A,9/1/19,Service,0,1,53,288
154,90031,456,Partner A,9/1/19,Service,0,1,40,138
155,90032,456,Partner A,9/1/19,Service,0,1,599,262
156,90033,456,Partner A,9/1/19,Service,0,0,480,0
157,90034,456,Partner A,9/1/19,Service,0,0,476,0
158,90035,456,Partner A,9/1/19,Service,0,0,530,0
159,90036,456,Partner A,9/1/19,Service,0,0,572,0
160,90037,456,Partner A,9/1/19,Service,0,0,243,0
161,90038,456,Partner A,9/1/19,Service,0,0,457,0
162,90039,456,Partner A,9/1/19,Service,0,0,350,0
163,90040,456,Partner A,9/1/19,Service,0,0,624,0
167,90044,456,Partner A,9/1/19,Service,0,1,176,111
169,90046,456,Partner A,9/1/19,Service,0,1,234,202
175,90052,456,Partner A,9/1/19,Service,0,0,65,0
179,90056,456,Partner A,9/1/19,Service,0,1,184,408
647,90524,4625,Partner B,9/1/19,Saves,1,0,474,216
184,90061,456,Partner A,9/1/19,Service,0,0,396,0
186,90063,456,Partner A,9/1/19,Service,0,1,558,420
187,90064,456,Partner A,9/1/19,Service,0,0,671,0
191,90068,456,Partner A,9/1/19,Service,0,0,575,0
192,90069,456,Partner A,9/1/19,Service,0,0,150,0
609,90486,4625,Partner B,9/1/19,Saves,1,0,160,138
166,90043,456,Partner A,9/1/19,Service,1,1,78,204
656,90533,4625,Partner B,9/1/19,Saves,1,1,360,144
168,90045,456,Partner A,9/1/19,Service,1,1,86,408
628,90505,4625,Partner B,9/1/19,Saves,1,1,521,147
650,90527,4625,Partner B,9/1/19,Saves,1,0,243,162
183,90060,456,Partner A,9/1/19,Service,1,0,231,443
613,90490,4625,Partner B,9/1/19,Saves,1,1,366,187
642,90519,4625,Partner B,9/1/19,Saves,0,1,70,340
644,90521,4625,Partner B,9/1/19,Saves,1,1,697,194
635,90512,4625,Partner B,9/1/19,Saves,1,1,522,197
639,90516,4625,Partner B,9/1/19,Saves,0,0,636,0
626,90503,4625,Partner B,9/1/19,Saves,0,0,108,0
654,90531,4625,Partner B,9/1/19,Saves,0,0,351,0
636,90513,4625,Partner B,9/1/19,Saves,0,0,371,0
655,90532,4625,Partner B,9/1/19,Saves,0,0,138,0
614,90491,4625,Partner B,9/1/19,Saves,1,0,695,234
646,90523,4625,Partner B,9/1/19,Saves,0,1,18,327
631,90508,4625,Partner B,9/1/19,Saves,1,0,179,252
616,90493,4625,Partner B,9/1/19,Saves,1,0,191,255
634,90511,4625,Partner B,9/1/19,Saves,1,0,22,277
643,90520,4625,Partner B,9/1/19,Saves,1,1,173,281
640,90517,4625,Partner B,9/1/19,Saves,1,0,307,285
641,90518,4625,Partner B,9/1/19,Saves,0,0,426,0
622,90499,4625,Partner B,9/1/19,Saves,0,0,207,0
618,90495,4625,Partner B,9/1/19,Saves,0,1,532,278
638,90515,4625,Partner B,9/1/19,Saves,0,0,342,0
658,90535,4625,Partner B,9/1/19,Saves,1,1,616,311
174,90051,456,Partner A,9/1/19,Service,1,1,335,256
152,90029,456,Partner A,9/1/19,Service,1,1,336,381
651,90528,4625,Partner B,9/1/19,Saves,1,0,566,321
619,90496,4625,Partner B,9/1/19,Saves,1,1,448,326
630,90507,4625,Partner B,9/1/19,Saves,1,0,430,330
624,90501,4625,Partner B,9/1/19,Saves,1,1,419,332
617,90494,4625,Partner B,9/1/19,Saves,1,0,252,338
185,90062,456,Partner A,9/1/19,Service,1,1,357,298
620,90497,4625,Partner B,9/1/19,Saves,0,0,582,0
632,90509,4625,Partner B,9/1/19,Saves,1,0,204,354
645,90522,4625,Partner B,9/1/19,Saves,0,0,488,0
623,90500,4625,Partner B,9/1/19,Saves,1,0,422,360
612,90489,4625,Partner B,9/1/19,Saves,0,1,525,228
652,90529,4625,Partner B,9/1/19,Saves,1,0,294,371
153,90030,456,Partner A,9/1/19,Service,1,1,397,428
188,90065,456,Partner A,9/1/19,Service,1,1,401,436
172,90049,456,Partner A,9/1/19,Service,1,1,417,346
610,90487,4625,Partner B,9/1/19,Saves,0,0,63,0
637,90514,4625,Partner B,9/1/19,Saves,0,0,516,0
633,90510,4625,Partner B,9/1/19,Saves,1,0,396,391
615,90492,4625,Partner B,9/1/19,Saves,1,1,395,392
177,90054,456,Partner A,9/1/19,Service,1,0,442,206
621,90498,4625,Partner B,9/1/19,Saves,0,0,520,0
653,90530,4625,Partner B,9/1/19,Saves,0,0,208,0
657,90534,4625,Partner B,9/1/19,Saves,0,1,459,177
165,90042,456,Partner A,9/1/19,Service,1,1,455,316
629,90506,4625,Partner B,9/1/19,Saves,0,0,253,0
181,90058,456,Partner A,9/1/19,Service,1,0,472,401
649,90526,4625,Partner B,9/1/19,Saves,0,1,421,149
176,90053,456,Partner A,9/1/19,Service,1,1,476,391
648,90525,4625,Partner B,9/1/19,Saves,0,0,384,0
178,90055,456,Partner A,9/1/19,Service,1,0,504,269
611,90488,4625,Partner B,9/1/19,Saves,0,1,56,126
627,90504,4625,Partner B,9/1/19,Saves,0,0,25,0
164,90041,456,Partner A,9/1/19,Service,1,1,523,213
151,90028,456,Partner A,9/1/19,Service,1,1,527,437
182,90059,456,Partner A,9/1/19,Service,1,0,537,314
625,90502,4625,Partner B,9/1/19,Saves,0,1,582,101
180,90057,456,Partner A,9/1/19,Service,1,0,549,369
190,90067,456,Partner A,9/1/19,Service,1,1,581,295
170,90047,456,Partner A,9/1/19,Service,1,0,598,313
171,90048,456,Partner A,9/1/19,Service,1,0,605,434
173,90050,456,Partner A,9/1/19,Service,1,1,699,353
750,90627,7000,Partner B,8/2/19,Saves,0,1,402,203
796,90673,7000,Partner B,8/2/19,Saves,0,1,75,131
781,90658,7000,Partner B,8/2/19,Saves,0,1,545,140
771,90648,7000,Partner B,8/2/19,Saves,0,0,4,0
767,90644,7000,Partner B,8/2/19,Saves,0,0,679,0
756,90633,7000,Partner B,8/2/19,Saves,1,1,605,158
791,90668,7000,Partner B,8/2/19,Saves,1,0,179,170
743,90620,7000,Partner B,8/2/19,Saves,1,1,120,170
753,90630,7000,Partner B,8/2/19,Saves,0,0,694,0
770,90647,7000,Partner B,8/2/19,Saves,0,1,175,338
757,90634,7000,Partner B,8/2/19,Saves,1,0,242,195
787,90664,7000,Partner B,8/2/19,Saves,1,0,563,198
773,90650,7000,Partner B,8/2/19,Saves,1,0,96,210
769,90646,7000,Partner B,8/2/19,Saves,1,1,639,212
747,90624,7000,Partner B,8/2/19,Saves,1,0,470,216
765,90642,7000,Partner B,8/2/19,Saves,0,1,11,377
778,90655,7000,Partner B,8/2/19,Saves,0,0,103,0
751,90628,7000,Partner B,8/2/19,Saves,0,0,253,0
772,90649,7000,Partner B,8/2/19,Saves,0,0,3,0
788,90665,7000,Partner B,8/2/19,Saves,1,0,341,223
777,90654,7000,Partner B,8/2/19,Saves,0,0,449,0
748,90625,7000,Partner B,8/2/19,Saves,1,0,345,236
754,90631,7000,Partner B,8/2/19,Saves,1,0,327,239
795,90672,7000,Partner B,8/2/19,Saves,0,1,129,335
793,90670,7000,Partner B,8/2/19,Saves,0,1,345,333
774,90651,7000,Partner B,8/2/19,Saves,1,1,474,251
780,90657,7000,Partner B,8/2/19,Saves,0,1,588,323
779,90656,7000,Partner B,8/2/19,Saves,0,0,353,0
752,90629,7000,Partner B,8/2/19,Saves,0,0,424,0
789,90666,7000,Partner B,8/2/19,Saves,1,1,565,267
782,90659,7000,Partner B,8/2/19,Saves,1,1,125,276
742,90619,7000,Partner B,8/2/19,Saves,0,0,278,0
764,90641,7000,Partner B,8/2/19,Saves,0,1,3,281
744,90621,7000,Partner B,8/2/19,Saves,0,1,269,280
762,90639,7000,Partner B,8/2/19,Saves,1,1,304,295
792,90669,7000,Partner B,8/2/19,Saves,1,0,259,319
786,90663,7000,Partner B,8/2/19,Saves,1,1,168,328
784,90661,7000,Partner B,8/2/19,Saves,1,1,372,328
794,90671,7000,Partner B,8/2/19,Saves,1,0,223,330
785,90662,7000,Partner B,8/2/19,Saves,1,1,646,333
749,90626,7000,Partner B,8/2/19,Saves,0,1,181,268
758,90635,7000,Partner B,8/2/19,Saves,1,1,596,348
768,90645,7000,Partner B,8/2/19,Saves,1,0,412,349
745,90622,7000,Partner B,8/2/19,Saves,1,1,450,352
761,90638,7000,Partner B,8/2/19,Saves,1,1,687,362
760,90637,7000,Partner B,8/2/19,Saves,1,0,189,363
740,90617,7000,Partner B,8/2/19,Saves,1,1,275,369
766,90643,7000,Partner B,8/2/19,Saves,0,0,558,0
790,90667,7000,Partner B,8/2/19,Saves,1,0,262,392
775,90652,7000,Partner B,8/2/19,Saves,0,0,213,0
741,90618,7000,Partner B,8/2/19,Saves,0,1,493,186
746,90623,7000,Partner B,8/2/19,Saves,0,0,459,0
759,90636,7000,Partner B,8/2/19,Saves,1,1,596,399
755,90632,7000,Partner B,8/2/19,Saves,0,1,503,149
783,90660,7000,Partner B,8/2/19,Saves,1,0,146,408
763,90640,7000,Partner B,8/2/19,Saves,0,0,522,0
776,90653,7000,Partner B,8/2/19,Saves,0,1,76,134
495,90372,1000,Partner A,8/1/19,Saves,0,1,432,213
514,90391,1000,Partner A,8/1/19,Saves,0,0,466,0
477,90354,1000,Partner A,8/1/19,Saves,1,1,78,216
527,90404,1000,Partner A,8/1/19,Saves,1,1,432,126
541,90418,1000,Partner A,8/1/19,Saves,1,0,203,129
549,90426,1000,Partner A,8/1/19,Saves,1,1,178,132
481,90358,1000,Partner A,8/1/19,Saves,1,1,446,132
534,90411,1000,Partner A,8/1/19,Saves,1,0,260,138
510,90387,1000,Partner A,8/1/19,Saves,1,0,686,141
